id,species,start_year,end_year,group,species_alternates,wikipedia
first-life,First Life,-3800000000,,Microbes & Early Life,Prokaryotes|First Bacteria|LUCA,First_Life
first-archaea,First Archaea,-3800000000,,Microbes & Early Life,Archaebacteria|Archaea Domain,
first-photosynthesis,First Photosynthesis,-3500000000,,Microbes & Early Life,Cyanobacteria|Blue-green Algae,
great-oxidation,Great Oxidation Event,-2400000000,-2000000000,Microbes & Early Life,Oxygen Catastrophe|Oxygen Revolution,Great_Oxidation_Event
first-eukaryotes,First Eukaryotes,-2100000000,,Microbes & Early Life,Eukaryota|Nucleated Cells,
first-sexual-reproduction,First Sexual Reproduction,-1200000000,,Microbes & Early Life,Grypania spiralis,
first-multicellular,First Multicellular Life,-600000000,,Microbes & Early Life,Ediacaran Biota|Dickinsonia,
ediacaran-fauna,Ediacaran Fauna,-575000000,-538800000,Microbes & Early Life,Vendobionta|Ediacaran Period,
cambrian-explosion,Cambrian Explosion,-538800000,-485400000,Marine Invertebrates,Cambrian Fauna,Cambrian_Explosion
first-sponges,First Sponges,-600000000,,Marine Invertebrates,Porifera|Archaeocyatha,
first-jellyfish,First Jellyfish,-500000000,,Marine Invertebrates,Medusozoa|Scyphozoa,
first-molluscs,First Molluscs,-540000000,,Marine Invertebrates,Mollusca|Kimberella,
first-trilobites,First Trilobites,-521000000,-252000000,Marine Invertebrates,Trilobita,
first-echinoderms,First Echinoderms,-480000000,,Marine Invertebrates,Echinodermata|Sea Stars|Sea Urchins,
first-cephalopods,First Cephalopods,-500000000,,Marine Invertebrates,Cephalopoda|Nautiloids,
first-coral-reefs,First Coral Reefs,-500000000,,Marine Invertebrates,Anthozoa|Rugosa|Tabulate Coral,
jawless-fish,First Jawless Fish,-530000000,,Fish,Agnatha|Myllokunmingia|Haikouichthys,
first-sharks,First Sharks,-450000000,,Fish,Chondrichthyes|Cladoselache|Doliodus,
jawed-fish,First Jawed Fish,-430000000,,Fish,Gnathostomata|Placoderms|Acanthodians,
lobe-finned-fish,First Lobe-finned Fish,-425000000,,Fish,Sarcopterygii|Coelacanth|Rhipidistia,
ray-finned-fish,First Ray-finned Fish,-420000000,,Fish,Actinopterygii|Cheirolepis,
tiktaalik,Tiktaalik,-375000000,-359000000,Fish,Tiktaalik roseae|Fish with Limbs|Elpistostegalia,Tiktaalik
first-land-plants,First Land Plants,-470000000,,Plants,Embryophyta|Liverworts|Mosses|Bryophytes,
first-vascular-plants,First Vascular Plants,-430000000,,Plants,Tracheophyta|Cooksonia,
first-ferns,First Ferns,-360000000,,Plants,Pteridophyta|Filicophyta,
first-seed-plants,First Seed Plants,-360000000,,Plants,Spermatophyta|Pteridosperms|Seed Ferns,
first-conifers,First Conifers,-300000000,,Plants,Coniferophyta|Cordaitales,
first-cycads,First Cycads,-280000000,,Plants,Cycadophyta,
first-flowering-plants,First Flowering Plants,-130000000,,Plants,Angiosperms|Archaefructus|Amborella,
first-grasses,First Grasses,-70000000,,Plants,Poaceae|Gramineae,
first-insects,First Insects,-400000000,,Insects & Arachnids,Insecta|Rhyniognatha,
first-amphibians,First Amphibians,-375000000,,Amphibians,Tetrapoda|Ichthyostega|Acanthostega,
first-frogs,First Frogs,-250000000,,Amphibians,Anura|Triadobatrachus,
late-devonian-extinction,Late Devonian Extinction,-374000000,-359000000,Microbes & Early Life,Kellwasser Event|Hangenberg Event,Late_Devonian_Extinction
permian-extinction,Permian Mass Extinction,-251900000,-251900000,Microbes & Early Life,Great Dying|End-Permian Extinction,
first-reptiles,First Reptiles,-312000000,,Reptiles,Amniota|Hylonomus|Westlothiana,
first-synapsids,First Synapsids,-306000000,,Reptiles,Synapsida|Pelycosauria|Dimetrodon,
first-therapsids,First Therapsids,-260000000,,Reptiles,Therapsida|Proto-mammals|Dicynodon,
first-turtles,First Turtles,-220000000,,Reptiles,Testudines|Odontochelys|Proganochelys,
first-lizards,First Lizards,-220000000,,Reptiles,Squamata|Megachirella,
first-crocodilians,First Crocodilians,-230000000,,Reptiles,Crocodilia|Archosauria|Protosuchus,
first-snakes,First Snakes,-167000000,,Reptiles,Serpentes|Eophis underwoodi,
